"","Especie","Codigo","nombrecomun","Periodo2005-2009","Periodo2010-2014","Periodo2015-2019"
"116","Ixobrychus involucris","IXO-INV","Mirasol Estriado",NA,2,3
"117","Jacana jacana","JAC-JAC","Jacana",28,111,1171
"118","Knipolegus cyanirostris","KNI-CYA","Viudita Pico Celeste",NA,NA,4
"119","Larus dominicanus","LAR-DOM","Gaviota Cocinera",NA,1,14
"120","Laterallus melanophaius","LAT-MEL","Burrito Canela",1,1,33
"121","Lathrotriccus euleri","LAT-EUL","Mosqueta Parda",NA,1,3
"122","Leistes superciliaris","LEI-SUP","Pecho Colorado",5,5,40
"123","Lepidocolaptes angustirostris","LEP-ANG","Chinchero Chico",9,37,293
"124","Leptasthenura platensis","LEP-PLA","Coludito Copetón",6,23,179
"125","Leptotila verreauxi","LEP-VER","Yerutí Gris",5,31,124
"126","Lessonia rufa","LES-RUF","Sobrepuesto Austral",4,9,85
"127","Leucochloris albicollis","LEU-ALB","Picaflor Garganta Blanca",NA,NA,2
"128","Limnoctites rectirostris","LIM-REC","Pajonalera Pico Recto",2,7,4
"129","Limnornis curvirostris","LIM-CUR","Pajonalera Pico Curvo",3,9,79
"130","Machetornis rixosa","MAC-RIX","Picabuey",10,72,266
"131","Megaceryle torquata","MEG-TOR","Martín Pescador Grande",3,5,45
"132","Megascops choliba","MEG-CHO","Alilicucú Común",NA,1,4
"133","Melanerpes cactorum","MEL-CAC","Carpintero del Cardón",10,34,321
"134","Melanerpes candidus","MEL-CAN","Carpintero Blanco",4,13,129
"135","Microspingus cabanisi","MIC-CAB","Monterita Litoraleña",1,NA,2
"136","Microspingus melanoleucus","MIC-MEL","Monterita Cabeza Negra",5,18,238
"137","Milvago chimachima","MIL-CHI","Chimachima",10,NA,5
"138","Milvago chimango","MIL-CHI","Chimango",6,50,303
"139","Mimus patagonicus","MIM-PAT","Calandria Mora",NA,NA,1
"140","Mimus saturninus","MIM-SAT","Calandria Grande",10,75,553
"141","Mimus triurus","MIM-TRI","Calandria Real",1,12,79
"142","Molothrus bonariensis","MOL-BON","Tordo Renegrido",9,218,1640
"143","Molothrus rufoaxillaris","MOL-RUF","Tordo Pico Corto",3,23,215
"144","Muscisaxicola maclovianus","MUS-MAC","Dormilona Cara Negra",NA,1,NA
"145","Mycteria americana","MYC-AME","Tuyuyú",17,34,414
"146","Myiarchus ferox","MYI-FER","Burlisto Pico Negro",NA,1,NA
"147","Myiarchus swainsoni","MYI-SWA","Burlisto Pico Canela",2,6,18
"148","Myiodynastes maculatus","MYI-MAC","Benteveo rayado",1,4,16
"149","Myiophobus fasciatus","MYI-FAS","Mosqueta Estriada",1,5,27
"150","Myiopsitta monachus","MYI-MON","Cotorra",58,790,6514
"151","Neoxolmis rufiventris","NEO-RUF","Monjita Chocolate",NA,NA,1
"152","Netta peposaca","NET-PEP","Pato Picazo",41,25,773
"153","Nomonyx dominicus","NOM-DOM","Pato Fierro",NA,19,44
"154","Nothura maculosa","NOT-MAC","Inambú Campestre",1,10,52
"155","Notiochelidon cyanoleuca","NOT-CYA","Golondrina Barranquera",2,5,179
"156","Nycticorax nycticorax","NYC-NYC","Garza Bruja",4,11,179
"157","Nycticryphes semicollaris","NYC-SEM","Aguatero",1,1,8
"158","Pachyramphus polychopterus","PAC-POL","Anambé Negro",2,6,11
"159","Pandion haliaetus","PAN-HAL","Águila Pescadora",NA,1,NA
"160","Parabuteo unicinctus","PAR-UNI","Gavilán Mixto",NA,3,38
"161","Pardirallus maculatus","PAR-MAC","Gallineta Overa",NA,1,32
"162","Pardirallus sanguinolentus","PAR-SAN","Gallineta Pico Pintado",6,21,153
"163","Paroaria capitata","PAR-CAP","Cardenilla",4,12,77
"164","Paroaria coronata","PAR-COR","Cardenal Copete Rojo",47,96,1087
"165","Passer domesticus","PAS-DOM","Gorrión",8,21,485
"166","Patagioenas maculosa","PAT-MAC","Paloma Manchada",7,52,390
"167","Patagioenas picazuro","PAT-PIC","Paloma Picazuró",11,151,440
"168","Petrochelidon pyrrhonota","PET-PYR","Golondrina Rabadilla Canela",4,3,1083
"169","Phacellodomus ruber","PHA-RUB","Espinero Grande",NA,NA,1
"170","Phacellodomus sibilatrix","PHA-SIB","Espinero Chico",5,23,150
"171","Phaetusa simplex","PHA-SIM","Atí",1,5,NA
"172","Phalacrocorax brasilianus","PHA-BRA","Biguá",65,76,532
"173","Phalaropus tricolor","PHA-TRI","Falaropo común",NA,1,9
"174","Phimosus infuscatus","PHI-INF","Cuervillo Cara Pelada",7,133,2137
"175","Phleocryptes melanops","PHL-MEL","Junquero",5,17,154
"176","Phoenicopterus chilensis","PHO-CHI","Flamenco Austral",NA,NA,30
"177","Phylloscartes ventralis","PHY-VEN","Mosqueta Carasucia",NA,NA,2
"178","Phytotoma rutila","PHY-RUT","Cortarramas",10,16,181
"179","Picumnus cirratus","PIC-CIR","Carpinterito Barrado",1,1,10
"180","Pipraeidea bonariensis","PIP-BON","Naranjero",3,14,68
"181","Pipraeidea melanonota","PIP-MEL","Saíra de antifaz",NA,1,NA
"182","Piranga flava","PIR-FLA","Fueguero común",1,4,19
"183","Pitangus sulphuratus","PIT-SUL","Benteveo",16,85,1003
"184","Platalea ajaja","PLA-AJA","Espátula Rosada",20,60,325
"185","Plegadis chihi","PLE-CHI","Cuervillo de Cañada",608,607,4461
"186","Pluvialis dominica","PLU-DOM","Chorlo Pampa",NA,1,18
"187","Podager nacunda","POD-NAC","Ñacundá",3,4,112
"188","Podiceps major","POD-MAJ","Macá Grande",2,2,34
"189","Podilymbus podiceps","POD-POD","Macá Pico Grueso",3,9,74
"190","Polioptila dumicola","POL-DUM","Tacuarita Azul",20,40,474
"191","Polystictus pectoralis","POL-PEC","Tachurí Canela",NA,1,4
"192","Porphyrio martinica","POR-MAR","Pollona azul",NA,2,13
"193","Progne chalybea","PRO-CHA","Golondrina Doméstica",1,12,121
"194","Progne elegans","PRO-ELE","Golondrina Negra",NA,1,6
"195","Progne tapera","PRO-TAP","Golondrina Parda",8,311,1280
"196","Pseudocolopteryx flaviventris","PSE-FLA","Doradito Pampeano",2,12,70
"197","Pseudocolopteryx sclateri","PSE-SCL","Doradito Copetón",NA,NA,1
"198","Pseudoleistes virescens","PSE-VIR","Pecho Amarillo",32,112,689
"199","Pseudoseisura lophotes","PSE-LOP","Cacholote Castaño",7,52,304
"200","Pyrocephalus rubinus","PYR-RUB","Churrinche",22,95,288
"201","Rhea americana","RHE-AME","Ñandú",4,14,20
"202","Rhynchotus rufescens","RHY-RUF","Colorada",NA,4,2
"203","Riparia riparia","RIP-RIP","Golondrina Zapadora",1,3,29
"204","Rollandia rolland","ROL-ROL","Macá Cara Blanca",3,5,129
"205","Rostrhamus sociabilis","ROS-SOC","Caracolero",11,160,730
"206","Rupornis magnirostris","RUP-MAG","Taguató",11,24,234
"207","Rynchops niger","RYN-NIG","Rayador",NA,NA,1
"208","Saltator aurantiirostris","SAL-AUR","Pepitero de collar",11,31,180
"209","Saltator coerulescens","SAL-COE","Pepitero gris",7,15,98
"210","Saltator similis","SAL-SIM","Pepitero verdoso",NA,NA,15
"211","Saltatricula multicolor","SAL-MUL","Pepitero chico",NA,NA,5
"212","Sarkidiornis melanotos","SAR-MEL","Pato Crestudo Africano",NA,1,NA
"213","Satrapa icterophrys","SAT-ICT","Suirirí Amarillo",7,17,80
"214","Schoeniophylax phryganophilus","SCH-PHR","Chotoy",18,38,354
"215","Serpophaga griseicapilla","SER-GRI","Piojito Trinador",2,3,39
"216","Serpophaga nigricans","SER-NIG","Piojito Gris",9,27,123
"217","Serpophaga subcristata","SER-SUB","Piojito Tiquitiqui",7,42,157
"218","Setophaga pitiayumi","SET-PIT","Pitiayumí",3,3,26
"219","Sicalis flaveola","SIC-FLA","Jilguero dorado",47,42,691
"220","Sicalis luteola","SIC-LUT","Misto",2,22,386
"221","Spartonoica maluroides","SPA-MAL","Espartillero Enano",NA,1,2
"222","Spatula platalea","SPA-PLA","Pato Cuchara",2,4,18
"223","Spatula versicolor","SPA-VER","Pato Capuchino",7,23,347
"224","Spinus magellanicus","SPI-MAG","Cabecitanegra",10,35,445
"225","Spizaetus melanoleucus","SPI-MEL","Águila Viuda",NA,NA,3
"226","Sporophila caerulescens","SPO-CAE","Corbatita",13,26,208
"227","Sporophila cinnamomea","SPO-CIN","Capuchino Corona Gris",1,NA,3
"228","Sporophila collaris","SPO-COL","Corbatita dominó",1,3,31
"229","Sporophila hypoxantha","SPO-HYP","Capuchino canela",2,NA,1
"230","Sporophila nigrorufa","SPO-NIG","Siete Vestidos Pampeano",8,28,194
"231","Sporophila palustris","SPO-PAL","Capuchino Pecho Blanco",1,NA,6
"232","Sporophila ruficollis","SPO-RUF","Capuchino garganta café",NA,2,2
"233","Stelgidopteryx ruficollis","STE-RUF","Golondrina Ribereña",NA,1,36
"234","Stephanophorus diadematus","STE-DIA","Frutero azul",NA,2,2
"235","Sterna trudeaui","STE-TRU","Gaviotín Lagunero",1,4,1
"236","Sternula superciliaris","STE-SUP","Gaviotín de Río",NA,2,1
"237","Sturnus vulgaris","STU-VUL","Estornino Pinto",NA,1,100
"238","Sublegatus modestus","SUB-MOD","Suirirí Pico Corto",1,3,17
"239","Suiriri suiriri","SUI-SUI","Suirirí Gris",7,22,131
"240","Synallaxis albescens","SYN-ALB","Pijuí Cola Parda",2,2,57
"241","Synallaxis frontalis","SYN-FRO","Pijuí Frente Gris",3,15,124
"242","Synallaxis spixi","SYN-SPI","Pijuí Plomizo",NA,3,8
"243","Syrigma sibilatrix","SYR-SIB","Chiflón",8,35,129
"244","Tachuris rubrigastra","TAC-RUB","Tachurí Sietecolores",2,2,50
"245","Tachybaptus dominicus","TAC-DOM","Macá Gris",NA,1,NA
"246","Tachycineta leucopyga","TAC-LEU","Golondrina Patagónica",2,3,181
"247","Tachycineta leucorrhoa","TAC-LEU","Golondrina Ceja Blanca",6,77,793
"248","Tapera naevia","TAP-NAE","Crespín",2,8,21
"249","Taraba major","TAR-MAJ","Chororó",NA,NA,10
"250","Tarphonomus certhioides","TAR-CER","Bandurrita Chaqueña",NA,1,2
"251","Thamnophilus caerulescens","THA-CAE","Choca Corona Negruzca",1,1,4
"252","Thamnophilus ruficapillus","THA-RUF","Choca Corona Rojiza",5,6,30
"253","Theristicus caerulescens","THE-CAE","Bandurria Mora",NA,1,34
"254","Thraupis sayaca","THR-SAY","Celestino",7,21,136
"255","Tigrisoma lineatum","TIG-LIN","Hocó Colorado",7,15,168
"256","Tringa flavipes","TRI-FLA","Pitotoy Chico",20,11,262
"257","Tringa melanoleuca","TRI-MEL","Pitotoy Grande",32,8,30
"258","Tringa solitaria","TRI-SOL","Pitotoy Solitario",2,3,26
"259","Troglodytes aedon","TRO-AED","Ratona",11,36,423
"260","Tryngites subruficollis","TRY-SUB","Playerito Canela",NA,1,1
"261","Turdus amaurochalinus","TUR-AMA","Zorzal Chalchalero",7,20,140
"262","Turdus rufiventris","TUR-RUF","Zorzal Colorado",8,30,183
"263","Tyrannus melancholicus","TYR-MEL","Suirirí Real",11,21,216
"264","Tyrannus savana","TYR-SAV","Tijereta",7,53,315
"265","Tyto alba","TYT-ALB","Lechuza de Campanario",NA,1,NA
"266","Vanellus chilensis","VAN-CHI","Tero",26,356,1500
"267","Vireo chivi","VIR-CHI","Chiví-chiví",1,1,1
"268","Volatinia jacarina","VOL-JAC","Volatinero",1,1,4
"269","Xenopsaris albinucha","XEN-ALB","Tijerilla",5,16,73
"270","Xiphorhynchus fuscus","XIP-FUS","Chinchero Enano",3,7,34
"271","Xolmis cinereus","XOL-CIN","Monjita Gris",NA,4,12
"272","Xolmis coronatus","XOL-COR","Monjita Coronada",1,8,28
"273","Xolmis irupero","XOL-IRU","Monjita Blanca",23,71,330
"274","Zenaida auriculata","ZEN-AUR","Torcaza",25,217,1212
"275","Zonotrichia capensis","ZON-CAP","Chingolo",8,84,998
